School,Number of Applicants,Accept Rate,SAT_25th percentile,SAT_75th percentile,ACT_25th percentile,ACT_75th percentile
Morehouse College,3554,0.579,1010.0,1210.0,20.0,25.0
University of Alabama,37302,0.591,1060.0,1280.0,23.0,31.0
Milwaukee School of Engineering,3552,0.617,,,25.0,30.0
Florida Institute of Technology,9743,0.657,1150.0,1360.0,24.0,30.0
Louisiana State University—​Baton Rouge,24501,0.746,1080.0,1310.0,23.0,29.0
The Citadel,2742,0.747,1050.0,1230.0,20.0,25.0
New College of Florida,1340,0.768,1220.0,1420.0,26.0,31.0
Thomas Aquinas College,211,0.777,1220.0,1400.0,25.0,30.0
University of Texas Rio Grande Valley,10680,0.7979999999999999,950.0,1130.0,17.0,22.0
University of South Dakota,4434,0.8640000000000001,990.0,1180.0,19.0,25.0
University of Mississippi,15371,0.8809999999999999,1050.0,1270.0,21.0,29.0
University of Wyoming,5348,0.96,1060.0,1280.0,22.0,28.0
University of Texas El Paso,7157,0.9990000000000001,820.0,1050.0,17.0,23.0
